CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;CnpjValido;ValorValido;RazaoSocialValida
418986;OPERADORA_NAO_IDENTIFICADA;;4;2024;151074331.68;false;true;true
402206;OPERADORA_NAO_IDENTIFICADA;;4;2024;226766242.76;false;true;true
312592;OPERADORA_NAO_IDENTIFICADA;;4;2024;1258349022.33;false;true;true
424269;OPERADORA_NAO_IDENTIFICADA;;4;2024;67200;false;true;true
343765;OPERADORA_NAO_IDENTIFICADA;;4;2024;265512015.21;false;true;true
416410;OPERADORA_NAO_IDENTIFICADA;;4;2024;2949371.36;false;true;true
420786;OPERADORA_NAO_IDENTIFICADA;;4;2024;287427873.80;false;true;true
312363;OPERADORA_NAO_IDENTIFICADA;;4;2024;33894322870.02;false;true;true
423998;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
421375;OPERADORA_NAO_IDENTIFICADA;;4;2024;1048855.92;false;true;true
423491;OPERADORA_NAO_IDENTIFICADA;;4;2024;183391.44;false;true;true
316148;OPERADORA_NAO_IDENTIFICADA;;4;2024;1666951182.17;false;true;true
413941;OPERADORA_NAO_IDENTIFICADA;;4;2024;92546954.24;false;true;true
349682;OPERADORA_NAO_IDENTIFICADA;;4;2024;2837970843.69;false;true;true
336467;OPERADORA_NAO_IDENTIFICADA;;4;2024;188872183.90;false;true;true
416193;OPERADORA_NAO_IDENTIFICADA;;4;2024;21577749.76;false;true;true
382540;OPERADORA_NAO_IDENTIFICADA;;4;2024;3396474385.22;false;true;true
417289;OPERADORA_NAO_IDENTIFICADA;;4;2024;1929868832.78;false;true;true
370681;OPERADORA_NAO_IDENTIFICADA;;4;2024;1842815402.19;false;true;true
344915;OPERADORA_NAO_IDENTIFICADA;;4;2024;402938652.45;false;true;true
335258;OPERADORA_NAO_IDENTIFICADA;;4;2024;298209241.49;false;true;true
331104;OPERADORA_NAO_IDENTIFICADA;;4;2024;45889954.99;false;true;true
327093;OPERADORA_NAO_IDENTIFICADA;;4;2024;68008067.53;false;true;true
303291;OPERADORA_NAO_IDENTIFICADA;;4;2024;8010999.68;false;true;true
421618;OPERADORA_NAO_IDENTIFICADA;;4;2024;58961076.86;false;true;true
351776;OPERADORA_NAO_IDENTIFICADA;;4;2024;407110986.44;false;true;true
357022;OPERADORA_NAO_IDENTIFICADA;;4;2024;1268874325.33;false;true;true
418731;OPERADORA_NAO_IDENTIFICADA;;4;2024;568320117.32;false;true;true
314315;OPERADORA_NAO_IDENTIFICADA;;4;2024;186545494.95;false;true;true
419729;OPERADORA_NAO_IDENTIFICADA;;4;2024;28183069.53;false;true;true
419150;OPERADORA_NAO_IDENTIFICADA;;4;2024;557519538.97;false;true;true
358436;OPERADORA_NAO_IDENTIFICADA;;4;2024;276898917.70;false;true;true
371777;OPERADORA_NAO_IDENTIFICADA;;4;2024;1500425895.72;false;true;true
315729;OPERADORA_NAO_IDENTIFICADA;;4;2024;5900864360.44;false;true;true
419052;OPERADORA_NAO_IDENTIFICADA;;4;2024;547240468.00;false;true;true
416835;OPERADORA_NAO_IDENTIFICADA;;4;2024;4098655.44;false;true;true
329886;OPERADORA_NAO_IDENTIFICADA;;4;2024;1019592988.68;false;true;true
321125;OPERADORA_NAO_IDENTIFICADA;;4;2024;234741147.46;false;true;true
421359;OPERADORA_NAO_IDENTIFICADA;;4;2024;164977505.95;false;true;true
406554;OPERADORA_NAO_IDENTIFICADA;;4;2024;4848572539.47;false;true;true
402966;OPERADORA_NAO_IDENTIFICADA;;4;2024;662622199.84;false;true;true
422151;OPERADORA_NAO_IDENTIFICADA;;4;2024;143205141.79;false;true;true
330108;OPERADORA_NAO_IDENTIFICADA;;4;2024;1191787356.13;false;true;true
311715;OPERADORA_NAO_IDENTIFICADA;;4;2024;1598756097.28;false;true;true
416398;OPERADORA_NAO_IDENTIFICADA;;4;2024;684260016.14;false;true;true
400556;OPERADORA_NAO_IDENTIFICADA;;4;2024;3409110.40;false;true;true
417611;OPERADORA_NAO_IDENTIFICADA;;4;2024;1105767.52;false;true;true
323268;OPERADORA_NAO_IDENTIFICADA;;4;2024;3591853054.19;false;true;true
423203;OPERADORA_NAO_IDENTIFICADA;;4;2024;57519766.44;false;true;true
422053;OPERADORA_NAO_IDENTIFICADA;;4;2024;344558093.58;false;true;true
407569;OPERADORA_NAO_IDENTIFICADA;;4;2024;67712452.80;false;true;true
418773;OPERADORA_NAO_IDENTIFICADA;;4;2024;134296.08;false;true;true
335754;OPERADORA_NAO_IDENTIFICADA;;4;2024;885568141.78;false;true;true
411248;OPERADORA_NAO_IDENTIFICADA;;4;2024;59061204.29;false;true;true
353663;OPERADORA_NAO_IDENTIFICADA;;4;2024;3696551594.59;false;true;true
369659;OPERADORA_NAO_IDENTIFICADA;;4;2024;6034046395.57;false;true;true
316849;OPERADORA_NAO_IDENTIFICADA;;4;2024;89895921.28;false;true;true
418927;OPERADORA_NAO_IDENTIFICADA;;4;2024;8;false;true;true
344681;OPERADORA_NAO_IDENTIFICADA;;4;2024;31871575.20;false;true;true
000582;OPERADORA_NAO_IDENTIFICADA;;4;2024;47847694856.19;false;true;true
344800;OPERADORA_NAO_IDENTIFICADA;;4;2024;2839367365.32;false;true;true
423084;OPERADORA_NAO_IDENTIFICADA;;4;2024;17738463.62;false;true;true
367397;OPERADORA_NAO_IDENTIFICADA;;4;2024;3504169439.61;false;true;true
407534;OPERADORA_NAO_IDENTIFICADA;;4;2024;44308327.76;false;true;true
403962;OPERADORA_NAO_IDENTIFICADA;;4;2024;1690698808.56;false;true;true
422584;OPERADORA_NAO_IDENTIFICADA;;4;2024;153630544.72;false;true;true
417548;OPERADORA_NAO_IDENTIFICADA;;4;2024;1750914935.45;false;true;true
353060;OPERADORA_NAO_IDENTIFICADA;;4;2024;2254613643.52;false;true;true
344583;OPERADORA_NAO_IDENTIFICADA;;4;2024;5255567.82;false;true;true
352501;OPERADORA_NAO_IDENTIFICADA;;4;2024;35304921033.77;false;true;true
324493;OPERADORA_NAO_IDENTIFICADA;;4;2024;1806896301.70;false;true;true
423939;OPERADORA_NAO_IDENTIFICADA;;4;2024;24;false;true;true
